País,Dependencia promedio,Arancel (%),Exposición ponderada,Volumen comercial
NOR,0.041482231456165725,16,1.1216795385747214,2159.455804824829
DNK,0.03258494686607361,20,1.101371204073288,8774.146904468536
BRA,0.06075125470670559,10,1.0266962045433243,24988.504524081945
AUT,0.029315885031823804,20,0.9908769140756449,6121.345885276794
ROU,0.029135279931059334,20,0.9789454056835936,107.52405178546907
IRQ,0.0170389179015963,39,0.9768411632985159,7026.0341796875
BGR,0.02770827303866617,20,0.9365396287069166,69.2269983291626
HUN,0.027321536647897618,20,0.91800363136936,1897.7515439987183
TUR,0.053959981685507585,10,0.9119236904850782,5630.616707801819
SRB,0.012634867955638073,38,0.8066099702879345,24.96694946289062
SGP,0.04377469621740237,10,0.7397923660741001,28552.66438484192
GRC,0.020638784513511883,20,0.6975909165567016,316.78935647010803
FIN,0.020576200051632652,20,0.6954755617451837,2908.280544281006
JOR,0.02098763118719088,20,0.6758017242275464,1830.8877563476562
NIC,0.022866377345165535,19,0.673414812815125,3189.8356803655624
POL,0.018662734783495626,20,0.6308004356821523,3654.7695120573044
MUS,0.01049907548195005,40,0.6173456383386628,17.215516567230225
GBR,0.0353718815732475,10,0.6013219867452073,138348.2842931375
ZWE,0.0225140194807577,18,0.5957209554608488,10.319000244140623
EST,0.0175921215586949,20,0.5910952843721488,4.673710823059082
PRT,0.016640640178765036,20,0.5657817660780112,1991.9259128570557
SVK,0.014436909356863382,20,0.4821927725192369,3995.8727564811707
HRV,0.013105839609382297,20,0.44297737879712173,39.134090423583984
FJI,0.0088466380163025,32,0.43030047311295355,9.066662788391112
NGA,0.017477704269812436,14,0.4086287258282147,4501.174766540527
MOZ,0.015714231739257,16,0.37462728466388695,8.440980911254883
VEN,0.015581187516806698,15,0.37161132227583976,17.838769912719727
LTU,0.0108015728484833,20,0.3629328477090389,492.9891052246094
LVA,0.010606574912731497,20,0.35425960208523205,149.2192897796631
CYP,0.0101229343563318,20,0.3381060075014821,5.76776123046875
AUS,0.018149447769284174,10,0.3049107225239741,5676.712371349335
TCD,0.0105877540850564,13,0.18719149222379716,4.796475887298584
COD,0.006674893666058701,11,0.10940150718670208,6.10099983215332
NAM,0.00034562138602031863,21,0.011249976114961372,0.0
LAO,0.00014190980032471052,48,0.010285622327535018,0.0
ZMB,0.0003735091930039368,17,0.009841967235653733,0.0
SYR,0.00014701345982578596,41,0.008800225705171546,0.0
BIH,0.00014126582236964093,36,0.008086055672438246,0.0
GUY,0.00012756366020780067,38,0.007028757677449817,0.0
SVN,0.00020692299603730952,20,0.0069526126668536005,0.0
TUN,0.00015454828275784406,28,0.006534301395001647,0.0
AGO,5.469807208493194e-05,32,0.0026255074600767337,0.0
LSO,2.144763703630136e-05,50,0.00157640132216815,0.0
MDA,2.5000482429981852e-05,31,0.0012400239285270999,0.0
MLT,3.5531888122744905e-05,20,0.0012009778185487778,0.0
CMR,6.488663092740552e-05,12,0.0011212409824255675,0.0
LBY,1.4440280867296528e-05,31,0.0006446141379161171,0.0
GNQ,1.7042604441680624e-05,13,0.0003123909394160059,0.0
BRN,4.56036485952484e-06,24,0.00017183454790689596,0.0
VUT,2.9812940639718516e-06,23,9.2569180686326e-05,0.0
FLK,1.2990041056104348e-06,42,6.2741898300984e-05,0.0
LIE,0.0,37,0.0,0.0
NRU,0.0,30,0.0,0.0
